Date,Latitude,Longitude
01/01/2013 03:40:00 AM,41.873229682,-87.720354876
01/01/2013 03:36:00 AM,41.779713714,-87.713825573
01/01/2013 01:10:00 AM,41.874960046,-87.746378758
01/01/2013 03:00:00 AM,41.846499564,-87.691527667
01/01/2013 02:34:00 AM,41.865663233,-87.692602624
01/01/2013 01:45:00 AM,41.794323049,-87.624821565
01/01/2013 12:01:00 AM,41.76509198,-87.584749244
01/01/2013 01:48:00 AM,41.746560134,-87.613587692
01/01/2013 03:40:00 AM,41.671641702,-87.642921313
01/01/2013 02:30:00 AM,41.874960046,-87.746378758
01/01/2013 01:24:00 AM,41.772249916,-87.610591448
01/01/2013 12:37:00 AM,41.743503863,-87.60501807
01/01/2013 12:30:00 AM,41.885514079,-87.662621141
01/01/2013 02:20:00 AM,41.939921575,-87.668825269
01/01/2013 12:45:00 AM,41.66344074,-87.62296448
01/01/2013 01:00:00 AM,41.891990384,-87.611461502
01/01/2013 03:40:00 AM,41.908726486,-87.746087907
01/01/2013 02:47:00 AM,41.788203082,-87.663203755
01/01/2013 01:04:00 AM,41.780399282,-87.644802715
01/01/2013 02:00:00 AM,41.802842875,-87.596714044
01/01/2013 01:50:00 AM,41.921796344,-87.718133852
01/01/2013 03:05:00 AM,41.905838357,-87.75887269
01/01/2013 12:08:00 AM,41.776852087,-87.667820356
01/01/2013 03:30:00 AM,41.939918899,-87.653369734
01/01/2013 03:00:00 AM,41.798920113,-87.652570195
01/01/2013 01:16:00 AM,41.880417403,-87.751583614
01/01/2013 01:00:00 AM,41.917734471,-87.678847368
01/01/2013 03:53:00 AM,41.835645318,-87.658375335
01/01/2013 01:46:00 AM,41.738431536,-87.559953225
01/01/2013 02:29:00 AM,41.809451703,-87.697909548
01/01/2013 04:16:00 AM,41.921021491,-87.69730355
01/01/2013 02:50:00 AM,41.756567578,-87.565115788
01/01/2013 03:30:00 AM,41.837431392,-87.642606436
01/01/2013 01:00:00 AM,41.900777365,-87.648642577
01/01/2013 03:45:00 AM,41.911826745,-87.715613769
01/01/2013 04:30:00 AM,41.895229672,-87.66138088
01/01/2013 04:20:00 AM,41.843803629,-87.706238348
01/01/2013 03:45:00 AM,41.865191804,-87.660083834
01/01/2013 01:55:00 AM,41.71706428,-87.661166898
01/01/2013 01:55:00 AM,41.90452536,-87.6738541
01/01/2013 01:35:00 AM,41.903417753,-87.694429347
01/01/2013 02:15:00 AM,41.938962928,-87.805537026
01/01/2013 03:52:00 AM,41.764619719,-87.637083304
01/01/2013 03:00:00 AM,41.961838394,-87.710711455
01/01/2013 04:31:00 AM,42.008750949,-87.699767662
01/01/2013 02:52:00 AM,41.768686795,-87.65451385
01/01/2013 03:40:00 AM,41.941337817,-87.732093456
01/01/2013 12:45:00 AM,41.880966228,-87.706719713
01/01/2013 01:00:00 AM,41.893541578,-87.629701805
01/01/2013 04:06:00 AM,41.900017769,-87.623426629
01/01/2013 04:50:00 AM,41.860795429,-87.715738069
01/01/2013 03:47:00 AM,41.888907632,-87.723458939
01/01/2013 05:05:00 AM,41.938952234,-87.737720959
01/01/2013 04:00:00 AM,41.900256073,-87.690438659
01/01/2013 04:16:00 AM,41.903745083,-87.708028861
01/01/2013 04:41:00 AM,41.977463639,-87.837399025
01/01/2013 12:01:00 AM,41.673630092,-87.63815994
01/01/2013 01:06:00 AM,41.887569277,-87.702281217
01/01/2013 01:40:00 AM,41.923334286,-87.778132236
01/01/2013 03:00:00 AM,41.772864484,-87.621113193
01/01/2013 02:00:00 AM,41.835050716,-87.724847525
01/01/2013 12:30:00 AM,41.769882726,-87.594803796
01/01/2013 02:00:00 AM,41.893255946,-87.629216452
01/01/2013 12:15:00 AM,41.824074372,-87.692191942
01/01/2013 04:45:00 AM,41.84336792,-87.715979093
01/01/2013 12:15:00 AM,41.855986476,-87.717594001
01/01/2013 03:50:00 AM,41.824546923,-87.633066353
01/01/2013 02:25:00 AM,41.884199519,-87.659796183
01/01/2013 01:50:00 AM,41.720247091,-87.568878174
01/01/2013 04:20:00 AM,41.718668774,-87.537700181
01/01/2013 03:50:00 AM,41.756177274,-87.677493404
01/01/2013 04:30:00 AM,41.732847273,-87.552707512
01/01/2013 02:30:00 AM,41.910555052,-87.706797795
01/01/2013 03:59:00 AM,41.897203075,-87.726491113
01/01/2013 03:15:00 AM,41.864102036,-87.655833034
01/01/2013 04:45:00 AM,41.747953871,-87.66580291
01/01/2013 05:00:00 AM,41.786728988,-87.66596184
01/01/2013 02:30:00 AM,41.778864596,-87.6642029
01/01/2013 05:14:00 AM,41.752019022,-87.614977963
01/01/2013 01:58:00 AM,41.77518887,-87.661660174
01/01/2013 04:00:00 AM,41.770524518,-87.653424052
01/01/2013 04:51:00 AM,41.75522703,-87.674490478
01/01/2013 04:55:00 AM,41.873256601,-87.715647496
01/01/2013 05:15:00 AM,41.871054822,-87.696888584
01/01/2013 02:00:00 AM,41.883578179,-87.709639371
01/01/2013 05:30:00 AM,41.859802095,-87.735989155
01/01/2013 05:30:00 AM,41.883578059,-87.709617339
01/01/2013 12:01:00 AM,41.943108594,-87.649366085
01/01/2013 04:00:00 AM,41.938110454,-87.756671923
01/01/2013 05:55:00 AM,41.941515351,-87.750558095
01/01/2013 04:37:00 AM,41.849954132,-87.685580175
01/01/2013 02:40:00 AM,41.78062615,-87.766712159
01/01/2013 03:10:00 AM,41.764102636,-87.690571736
01/01/2013 04:18:00 AM,41.80821268,-87.660093885
01/01/2013 05:00:00 AM,41.765361553,-87.601889808
01/01/2013 04:00:00 AM,41.898558683,-87.674686855
01/01/2013 04:44:00 AM,41.783455232,-87.613274211
01/01/2013 05:10:00 AM,41.946931814,-87.673369433
01/01/2013 04:35:00 AM,41.87528403,-87.724275108
01/01/2013 02:40:00 AM,41.680407019,-87.645650037
01/01/2013 03:30:00 AM,41.83042858,-87.65096322
01/01/2013 04:15:00 AM,41.745093848,-87.589331211
01/01/2013 04:00:00 AM,41.877324023,-87.706612089
01/01/2013 05:00:00 AM,41.784017858,-87.608046681
01/01/2013 06:10:00 AM,41.753647734,-87.652609014
01/01/2013 05:30:00 AM,41.731353669,-87.555436657
01/01/2013 04:00:00 AM,41.729685295,-87.649520934
01/01/2013 06:15:00 AM,41.941897108,-87.791527003
01/01/2013 06:10:00 AM,41.747393001,-87.585438607
01/01/2013 12:01:00 AM,41.77857063,-87.69947203
01/01/2013 06:15:00 AM,41.812141351,-87.751838675
01/01/2013 05:00:00 AM,41.958155715,-87.714273138
01/01/2013 06:55:00 AM,41.761674235,-87.701511331
01/01/2013 05:00:00 AM,41.873115115,-87.745687
01/01/2013 05:30:00 AM,41.972047905,-87.66785526
01/01/2013 01:30:00 AM,41.722448614,-87.62506957
01/01/2013 01:30:00 AM,41.888131743,-87.629548167
01/01/2013 02:30:00 AM,41.909966538,-87.635667717
01/01/2013 07:15:00 AM,41.878717405,-87.738471571
01/01/2013 08:07:00 AM,41.880751096,-87.723855981
01/01/2013 06:13:00 AM,41.883580046,-87.709477772
01/01/2013 05:15:00 AM,41.873341688,-87.715650348
01/01/2013 04:00:00 AM,41.771961744,-87.742076435
01/01/2013 08:11:00 AM,41.878525202,-87.750763559
01/01/2013 06:15:00 AM,41.895224395,-87.733789655
01/01/2013 06:00:00 AM,41.883578059,-87.709617339
01/01/2013 04:00:00 AM,41.879874435,-87.766478842
01/01/2013 06:50:00 AM,41.777785559,-87.654755201
01/01/2013 07:10:00 AM,41.789249544,-87.62182291
01/01/2013 07:30:00 AM,41.793912094,-87.674747204
01/01/2013 07:00:00 AM,41.811357494,-87.663828157
01/01/2013 12:30:00 AM,41.802022849,-87.595084009
01/01/2013 02:45:00 AM,41.693909486,-87.618275829
01/01/2013 12:00:00 AM,41.757529047,-87.634469775
01/01/2013 04:10:00 AM,41.666052263,-87.63623218
01/01/2013 07:20:00 AM,41.867427761,-87.626192049
01/01/2013 04:00:00 AM,41.729704504,-87.64952073
01/01/2013 05:15:00 AM,41.851489774,-87.728655843
01/01/2013 07:00:00 AM,41.765919973,-87.661419628
01/01/2013 03:15:00 AM,41.764632089,-87.628311641
01/01/2013 04:47:00 AM,41.794220024,-87.651791151
01/01/2013 07:30:00 AM,41.926596044,-87.77337821
01/01/2013 02:00:00 AM,41.918429958,-87.779188855
01/01/2013 07:00:00 AM,41.918161236,-87.719858934
01/01/2013 06:30:00 AM,41.788238898,-87.623920517
01/01/2013 06:00:00 AM,41.846362455,-87.702943244
01/01/2013 05:30:00 AM,41.914435955,-87.732577476
01/01/2013 02:00:00 AM,41.961452762,-87.751233141
01/01/2013 07:55:00 AM,41.981579153,-87.836580014
01/01/2013 02:30:00 AM,41.870867709,-87.713860414
01/01/2013 05:30:00 AM,41.811016677,-87.613812958
01/01/2013 05:50:00 AM,41.907835786,-87.744174733
01/01/2013 04:35:00 AM,41.938588329,-87.684253929
01/01/2013 04:00:00 AM,41.878827643,-87.729099546
01/01/2013 07:50:00 AM,41.965781301,-87.657716788
01/01/2013 06:00:00 AM,41.939588343,-87.650385064
01/01/2013 05:35:00 AM,41.78565818,-87.687474454
01/01/2013 09:11:00 AM,41.858462162,-87.717662024
01/01/2013 01:45:00 AM,41.898620509,-87.628253929
01/01/2013 03:30:00 AM,41.867671357,-87.695934543
01/01/2013 01:30:00 AM,41.76591285,-87.660202733
01/01/2013 07:35:00 AM,41.968391654,-87.71428068
01/01/2013 08:00:00 AM,41.939993714,-87.728022569
01/01/2013 09:00:00 AM,41.964618881,-87.656975296
01/01/2013 09:00:00 AM,41.814835811,-87.691953937
01/01/2013 08:30:00 AM,41.78851612,-87.623928461
01/01/2013 08:55:00 AM,41.917466277,-87.699525023
01/01/2013 07:40:00 AM,41.692777068,-87.609230042
01/01/2013 07:10:00 AM,41.909602239,-87.676255933
01/01/2013 09:08:00 AM,41.760731839,-87.573129708
01/01/2013 10:00:00 AM,41.876725028,-87.694522703
01/01/2013 02:00:00 AM,41.90317273,-87.67821734
01/01/2013 07:38:00 AM,41.721698573,-87.625378177
01/01/2013 03:00:00 AM,41.861538108,-87.720158188
01/01/2013 09:57:00 AM,41.907221245,-87.625628157
01/01/2013 03:00:00 AM,41.830606764,-87.619328659
01/01/2013 04:00:00 AM,41.808714985,-87.604356922
01/01/2013 07:15:00 AM,41.765282432,-87.583654702
01/01/2013 04:00:00 AM,41.762161498,-87.562813204
01/01/2013 06:00:00 AM,41.772429772,-87.583839095
01/01/2013 08:55:00 AM,41.946930941,-87.755691836
01/01/2013 07:00:00 AM,41.780589244,-87.650883249
01/01/2013 10:20:00 AM,41.808656857,-87.619572454
01/01/2013 10:00:00 AM,41.770641003,-87.645332316
01/01/2013 09:00:00 AM,41.77518887,-87.661660174
01/01/2013 09:03:00 AM,41.774997184,-87.675006736
01/01/2013 08:15:00 AM,41.747470601,-87.614361729
01/01/2013 09:40:00 AM,41.863739747,-87.727538208
01/01/2013 08:15:00 AM,41.868834792,-87.715495479
01/01/2013 01:30:00 AM,41.85802838,-87.651092033
01/01/2013 09:01:00 AM,41.76680404,-87.605619683
01/01/2013 06:20:00 AM,41.774063758,-87.611879858
01/01/2013 09:10:00 AM,41.752271159,-87.610111975
01/01/2013 04:10:00 AM,41.778429255,-87.615277232
01/01/2013 09:50:00 AM,41.753682356,-87.653821721
01/01/2013 02:00:00 AM,41.876748723,-87.747878888
01/01/2013 09:15:00 AM,41.803992059,-87.582202329
01/01/2013 05:28:00 AM,41.843341565,-87.641533627
01/01/2013 09:00:00 AM,41.811528778,-87.671126034
01/01/2013 03:00:00 AM,41.757234418,-87.650276775
01/01/2013 07:00:00 AM,41.812997291,-87.617646123
01/01/2013 10:00:00 AM,41.74090886,-87.601306305
01/01/2013 09:00:00 AM,41.752596188,-87.554055126
01/01/2013 01:00:00 AM,41.747661576,-87.546752782
01/01/2013 01:00:00 AM,41.992481666,-87.777855422
01/01/2013 12:05:00 AM,41.875192899,-87.62869508
01/01/2013 11:00:00 AM,41.80234179,-87.684259124
01/01/2013 01:35:00 AM,41.874804308,-87.758449369
01/01/2013 10:30:00 AM,41.688969524,-87.62222971
01/01/2013 10:00:00 AM,41.67895423,-87.625144019
01/01/2013 11:25:00 AM,41.879631636,-87.736432438
01/01/2013 11:20:00 AM,41.875256576,-87.726346274
01/01/2013 11:15:00 AM,41.770043582,-87.637270265
01/01/2013 10:40:00 AM,41.872029029,-87.690482939
01/01/2013 12:15:00 PM,41.915321333,-87.728204325
01/01/2013 11:54:00 AM,41.88332306,-87.729163689
01/01/2013 03:00:00 AM,41.787914301,-87.685094041
01/01/2013 11:50:00 AM,41.808661287,-87.660782442
01/01/2013 06:40:00 AM,41.817018022,-87.687148458
01/01/2013 11:45:00 AM,41.711193369,-87.678133983
01/01/2013 09:30:00 AM,41.722114557,-87.662700381
01/01/2013 10:20:00 AM,41.716978635,-87.654069308
01/01/2013 02:00:00 AM,41.943569063,-87.652503912
01/01/2013 12:01:00 AM,41.778834203,-87.71154626
01/01/2013 11:57:00 AM,41.77279778,-87.683468276
01/01/2013 06:00:00 AM,41.878840427,-87.639582928
01/01/2013 08:00:00 AM,41.918833189,-87.690689472
01/01/2013 02:30:00 AM,41.907109594,-87.674665093
01/01/2013 11:50:00 AM,41.684703486,-87.638611864
01/01/2013 10:30:00 AM,41.932069855,-87.712364501
01/01/2013 12:10:00 PM,41.736958194,-87.548671393
01/01/2013 09:00:00 AM,41.834690813,-87.613705645
01/01/2013 12:15:00 PM,41.808986931,-87.612661906
01/01/2013 12:15:00 PM,41.90767894,-87.756523404
01/01/2013 05:00:00 AM,41.807502176,-87.682519784
01/01/2013 12:53:00 PM,41.77279778,-87.683468276
01/01/2013 12:30:00 AM,41.849635663,-87.683127924
01/01/2013 12:34:00 PM,41.879291035,-87.692576667
01/01/2013 08:01:00 AM,41.817508083,-87.684993783
01/01/2013 11:46:00 AM,41.873219626,-87.675868666
01/01/2013 10:48:00 AM,41.801513039,-87.617733588
01/01/2013 12:00:00 AM,41.902578999,-87.669921573
01/01/2013 05:00:00 AM,41.968405527,-87.712783941
01/01/2013 01:00:00 AM,41.928525595,-87.648867761
01/01/2013 12:38:00 PM,41.834975608,-87.658356685
01/01/2013 12:00:00 AM,41.702049219,-87.53770369
01/01/2013 02:00:00 AM,41.872709056,-87.624187857
01/01/2013 12:45:00 AM,41.893377059,-87.621707822
01/01/2013 01:30:00 PM,41.769185486,-87.625732415
01/01/2013 11:33:00 AM,41.679214043,-87.6335094
01/01/2013 01:37:00 AM,41.76591285,-87.660202733
01/01/2013 01:50:00 PM,41.909524592,-87.754100461
01/01/2013 01:56:00 PM,41.925402789,-87.731699241
01/01/2013 10:30:00 AM,41.942554717,-87.660590153
01/01/2013 12:30:00 PM,41.846499564,-87.691527667
01/01/2013 02:00:00 AM,41.822821719,-87.692949209
01/01/2013 12:35:00 PM,41.7799566,-87.605921959
01/01/2013 09:15:00 AM,41.744470772,-87.643863883
01/01/2013 01:34:00 PM,41.884613395,-87.706228705
01/01/2013 01:30:00 PM,41.702015233,-87.530449832
01/01/2013 01:30:00 AM,41.722697263,-87.62222793
01/01/2013 01:47:00 PM,41.898664018,-87.746753121
01/01/2013 05:00:00 AM,41.789424332,-87.718154385
01/01/2013 09:15:00 AM,41.707462178,-87.605355425
01/01/2013 02:00:00 AM,41.765265239,-87.566496576
01/01/2013 12:30:00 PM,41.681610676,-87.626915995
01/01/2013 03:00:00 AM,41.773786968,-87.684173165
01/01/2013 12:00:00 PM,41.998306507,-87.682587892
